episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,waiting_total,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
1,-298.8208455433455,0.0,19,171,9,0.99658,3560,123.72893258426966,307.7935393258427,6.2856741573033705,349.48618784530385,60.0,70,11494.75,8,6,5,45.0,30.0,25.0,1.5394910703001345,phase1_warmup,1
2,-367.59770757020755,15.244144959883256,20,351,9,0.99278,3605,123.73148404993066,306.6574202496533,6.475450762829404,443.8642857142857,90.0,100,23304.75,10,6,4,46.34146341463415,31.70731707317073,21.951219512195124,1.5198528801243487,phase1_warmup,2
3,-311.4939743589744,14.801523791419136,18,513,9,0.98936,3678,142.69004893964112,356.6968461120174,8.659597607395323,499.12857142857143,120.0,130,33596.25,5,5,8,40.0,30.0,30.0,1.5709505944546684,phase1_warmup,3
4,-306.7348382173382,13.953930302670127,19,684,9,0.98575,3461,119.34556486564577,301.00693441201963,6.271597804102861,323.8820652173913,120.0,130,28584.25,8,5,6,40.0,28.749999999999996,31.25,1.5701989732163695,phase1_warmup,4
5,-323.8501251526251,11.702361053890652,18,846,9,0.98233,3712,148.64331896551724,334.05172413793105,7.6484375,477.0032258064516,120.0,130,29058.25,3,10,5,35.35353535353536,33.33333333333333,31.313131313131315,1.5831950326665196,phase1_warmup,5
6,-408.60027167277167,10.701464703208522,19,1017,9,0.97872,3714,150.76332794830373,354.43834141087774,8.752019386106623,545.7309782608696,60.0,70,18299.75,6,9,4,35.294117647058826,35.294117647058826,29.411764705882355,1.5798634010685344,phase1_warmup,6
7,-347.7738766788767,10.330278301239014,20,1197,9,0.97492,3570,127.86582633053222,310.88543417366947,6.635014005602241,386.63617021276593,90.0,100,19821.5,8,8,4,35.714285714285715,36.42857142857142,27.857142857142858,1.5748745279098937,phase1_warmup,7
8,-395.27709706959706,9.793551921844482,18,1359,9,0.9715,3261,139.37166513339466,333.6727997546765,7.681386077890218,532.9222222222222,120.0,130,51581.25,6,6,6,35.22012578616352,35.84905660377358,28.930817610062892,1.5784775689872566,phase1_warmup,8
9,-302.7884768009768,9.685921245151096,18,1521,9,0.96808,3528,146.5762471655329,336.65702947845807,7.26984126984127,446.7048387096774,120.0,130,26945.25,7,2,9,35.39325842696629,33.146067415730336,31.46067415730337,1.5832814605839864,phase1_warmup,9
10,-224.00843711843712,9.631158298916286,18,1683,9,0.96466,3027,110.52428146679881,300.33531549388834,6.896266930954741,221.7761111111111,120.0,130,16985.5,6,6,6,35.025380710659896,32.99492385786802,31.979695431472084,1.5839262836947623,phase1_warmup,10
