episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,decision_steps,waiting_total,env_seed,route_file,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
1,-5.7753471169465564,0.0,19,171,9,0.992305,6529,158.16082095267268,586.9791698575585,7.637616786644203,1037.0795580110498,60.0,70,70,40636.25,43,,8,6,5,45.0,30.0,25.0,1.5394910703001345,phase1_mixed_easy,1
2,-2.1098085042040227,0.011881739017553627,21,360,9,0.9833275,5663,82.3282712343281,463.2014833127318,3.680028253575843,277.2272222222222,60.0,70,70,5578.0,44,,13,5,3,54.761904761904766,26.190476190476193,19.047619047619047,1.4376585467234848,phase1_mixed_easy,2
3,-2.0487162369135126,0.007411944846223507,21,549,9,0.97435,5590,83.90232558139535,464.3998211091234,3.8973166368515204,279.02222222222224,90.0,100,100,11817.75,45,,10,8,3,51.5625,31.25,17.1875,1.453791943100211,phase1_mixed_easy,3
4,-2.526679616501082,0.00909181687165983,16,693,9,0.96751,5625,88.61208888888889,467.8200888888889,3.684622222222222,302.31491712707185,120.0,130,130,16672.75,46,,2,5,9,43.20987654320987,30.864197530864196,25.925925925925924,1.551455234788379,phase1_mixed_easy,4
5,-2.2843791552290647,0.010977510863449424,20,873,9,0.95896,5845,91.48212147134304,476.36732249786144,4.153635585970916,300.29675675675674,90.0,100,100,10388.0,47,,9,7,4,43.13725490196079,32.35294117647059,24.509803921568626,1.5471664997828862,phase1_mixed_easy,5
6,-2.5285229650081886,0.0076056738746249014,18,1035,9,0.951265,5567,94.21699299443146,477.4397341476558,4.054787138494701,313.7416666666667,60.0,70,70,7552.0,48,,5,8,5,41.32231404958678,33.88429752066116,24.793388429752067,1.5547379517677085,phase1_mixed_easy,6
7,-2.367416407621037,0.006505760014988482,18,1197,9,0.94357,5502,87.10105416212286,465.273173391494,3.9311159578335153,274.8127777777778,120.0,130,130,13444.5,49,,5,8,5,39.285714285714285,35.0,25.71428571428571,1.56347682653479,phase1_mixed_easy,7
8,-2.553605955595927,0.006175828741534668,17,1350,9,0.9363025,5890,80.63887945670628,458.206960950764,3.1539898132427844,273.4528795811518,120.0,130,130,13527.0,50,,4,2,11,37.34177215189873,32.278481012658226,30.37974683544304,1.579427378635898,phase1_mixed_easy,8
9,-2.6691378556168295,0.006291844312929445,18,1512,9,0.9286075,5706,98.1826147914476,484.82842621801615,4.273922187171398,344.88055555555553,90.0,100,100,14084.25,51,,4,10,4,35.59322033898305,35.02824858757062,29.37853107344633,1.579742997722445,phase1_mixed_easy,9
10,-2.5876982245743574,0.002909783249426829,19,1683,9,0.920485,5580,90.12186379928315,473.83817204301073,4.057347670250896,294.95414364640885,120.0,130,130,15757.5,52,,7,8,4,35.53299492385787,35.53299492385787,28.934010152284262,1.5785271840265005,phase1_mixed_easy,10
11,-2.0451864678417215,0.006161364144645631,20,1863,9,0.9119349999999999,5678,83.09756956674886,462.7474462839028,3.773511799929553,264.14065934065934,60.0,70,70,5897.75,53,,10,6,4,37.15596330275229,34.862385321100916,27.981651376146786,1.5748571741039759,phase1_mixed_easy,11
12,-8.345979329147431,0.006388893537223339,20,2043,9,0.903385,7061,150.9811641410565,576.0834159467497,7.08171647075485,909.6513089005235,120.0,130,130,62920.75,54,,7,9,4,36.82008368200837,35.56485355648535,27.615062761506277,1.5738449507027372,phase1_mixed_easy,12
13,-2.380130396362511,0.004737884569395747,18,2205,9,0.89569,5738,91.551411641687,472.84053677239456,3.9729871035203903,315.5098360655738,90.0,100,100,12886.0,55,,5,7,6,36.04651162790697,36.04651162790697,27.906976744186046,1.5751104377103071,phase1_mixed_easy,13
14,-3.4687120232315016,0.0055863767370788586,18,2367,9,0.887995,5853,102.42012643089014,489.3815137536306,4.282931829830856,376.9766666666667,60.0,70,70,9085.75,56,,6,6,6,36.101083032490976,35.74007220216607,28.158844765342963,1.576004630176953,phase1_mixed_easy,14
15,-5.816943189182219,0.003983879633443921,19,2538,9,0.8798725000000001,6496,143.24107142857142,564.5851293103449,7.150246305418719,792.389502762431,90.0,100,100,43459.5,57,,7,8,4,36.02693602693603,36.36363636363637,27.609427609427613,1.5739686758268256,phase1_mixed_easy,15
16,-1.8270275648459287,0.007383469884332858,19,2709,9,0.87175,5358,72.2136991414707,448.64874953340797,3.2241508025382606,215.32375690607734,120.0,130,130,9725.75,58,,8,6,5,36.27760252365931,35.96214511041009,27.760252365930597,1.5745510177940891,phase1_mixed_easy,16
17,-4.754422745421827,0.007499711676722481,21,2898,9,0.8627724999999999,6911,140.79568803356966,555.3187671827521,6.526841267544494,720.5869791666667,120.0,130,130,48707.25,59,,11,5,5,37.16814159292036,35.10324483775811,27.728613569321535,1.574014807524743,phase1_mixed_easy,17
18,-2.7991757629909246,0.0063521521838588845,18,3060,9,0.8550775,5527,83.03419576623847,464.1163379772028,3.4669802786321693,285.24863387978144,60.0,70,70,6660.25,60,,6,5,7,37.150837988826815,34.63687150837989,28.212290502793298,1.5755692237235803,phase1_mixed_easy,18
19,-2.9398648731724832,0.004025803057869014,19,3231,9,0.846955,5807,98.17065610470122,483.9163079042535,4.493370070604443,352.3407608695652,120.0,130,130,18868.75,61,,7,7,5,37.03703703703704,34.65608465608466,28.306878306878307,1.5759593471876756,phase1_mixed_easy,19
20,-3.3019968452106276,0.004793070391506741,19,3402,9,0.8388325,5960,99.23741610738254,485.92785234899327,4.325335570469798,341.95401069518715,90.0,100,100,12834.25,62,,8,4,7,37.185929648241206,34.17085427135678,28.643216080402013,1.5767163136644748,phase1_mixed_easy,20
21,-5.115665590249,0.0034049853798933326,20,3582,9,0.8302825,6887,149.37926528241616,574.6518077537389,7.150718745462465,847.7808510638298,90.0,100,100,45435.0,63,,9,6,5,37.47016706443914,34.12887828162291,28.400954653937948,1.5757220122937659,phase1_mixed_easy,21
22,-2.4635479456724707,0.0025497539164988617,19,3753,9,0.82216,5499,85.0383706128387,465.1042007637752,3.8883433351518457,277.58618784530387,120.0,130,130,15888.0,64,,7,8,4,37.357630979498865,34.39635535307517,28.246013667425967,1.5754393462018157,phase1_mixed_easy,22
23,-2.0635325124480124,0.005252485914917832,22,3951,9,0.812755,5786,85.76702385067404,469.75181472519876,4.259246456965088,285.34021739130435,60.0,70,70,6857.75,65,,14,6,2,38.74458874458874,33.98268398268398,27.27272727272727,1.5703729546903502,phase1_mixed_easy,23
24,-2.4498399924303578,0.00432709755287284,21,4140,9,0.8037775,5886,89.25382262996942,470.9415562351342,4.071355759429154,283.4713541666667,120.0,130,130,13731.0,66,,12,3,6,39.46280991735537,33.057851239669425,27.479338842975203,1.569379837980247,phase1_mixed_easy,24
25,-2.444919202345118,0.008456727171218708,19,4311,9,0.795655,5645,97.43046944198406,480.8937112488928,4.18281665190434,339.10552486187845,90.0,100,100,11416.0,67,,8,6,5,39.48412698412698,33.13492063492063,27.380952380952383,1.569059107296067,phase1_mixed_easy,25
26,-2.508335399313882,0.0042712737953192305,19,4482,9,0.7875325,5748,94.06924147529575,478.05375782881003,4.078288100208768,322.7228260869565,90.0,100,100,12054.75,68,,8,5,6,39.50381679389313,33.01526717557252,27.480916030534353,1.5692785668214073,phase1_mixed_easy,26
27,-8.422746046137018,0.0037100917512648984,19,4653,9,0.77941,6879,184.76653583369676,641.3041139700538,9.274749236807676,1316.4396739130434,120.0,130,130,97044.75,69,,8,5,6,39.52205882352941,32.720588235294116,27.75735294117647,1.569924001155046,phase1_mixed_easy,27
28,-7.673295654591255,0.004668775413717542,21,4842,9,0.7704325000000001,6681,160.99221673402187,604.3129770992366,8.870229007633588,1081.7229508196722,120.0,130,130,86074.5,70,,13,4,4,40.282685512367486,32.15547703180212,27.56183745583039,1.5672018932060263,phase1_mixed_easy,28
29,-2.4826867693303014,0.003647113440092653,20,5022,9,0.7618825,5838,91.37273038711888,474.550188420692,3.985954093867763,338.07027027027027,60.0,70,70,9335.75,71,,10,5,5,40.71550255536627,31.85689948892675,27.427597955706982,1.5654380755924366,phase1_mixed_easy,29
30,-2.5256411168548443,0.006000627554021776,20,5202,9,0.7533325,5817,87.49957022520199,470.339006360667,4.000343819838404,308.87783783783783,120.0,130,130,17189.25,72,,11,3,6,41.118421052631575,31.25,27.631578947368425,1.564328888813267,phase1_mixed_easy,30
31,-2.4094104687601057,0.0034991652937605977,22,5400,9,0.7439275000000001,6070,89.5831960461285,473.77116968698516,4.250906095551895,302.6142105263158,120.0,130,130,17396.25,73,,13,6,3,41.679873217115684,31.061806656101425,27.258320126782888,1.5613434827175456,phase1_mixed_easy,31
32,-2.0507623322660122,0.004431048496848061,21,5589,9,0.73495,5773,82.79473410705006,464.8475662567123,3.626190888619435,293.80913978494624,90.0,100,100,11718.75,74,,11,7,3,41.96018376722817,31.240428790199083,26.79938744257274,1.5592125275433268,phase1_mixed_easy,32
33,-6.372416478524843,0.0038678941169851704,19,5760,9,0.7268275,6631,155.28789021263762,582.4931382898507,7.159855225456191,910.1097826086957,60.0,70,70,31705.25,75,,9,3,7,42.199108469539375,30.75780089153046,27.043090638930163,1.558654958120194,phase1_mixed_easy,33
34,-2.066697201846751,0.004443788214121014,20,5940,9,0.7182775,5618,83.72071911712354,464.87629049483803,3.688323246707013,275.83406593406596,60.0,70,70,7279.5,76,,12,2,6,42.79538904899135,30.11527377521614,27.089337175792505,1.5558616773648204,phase1_mixed_easy,34
35,-2.297507761526154,0.002472813645865591,21,6129,9,0.7093,5574,82.4508432005741,462.41711517761036,4.087908144958737,263.7590163934426,60.0,70,70,6178.25,77,,12,6,3,43.296089385474865,30.027932960893857,26.675977653631282,1.5526021816614972,phase1_mixed_easy,35
36,-2.9572003207579023,0.0034983867721166463,20,6309,9,0.70075,5945,97.00285954583684,482.06257359125317,4.170899915895711,360.81405405405405,60.0,70,70,9568.5,78,,8,9,3,43.28358208955223,30.39348710990502,26.322930800542743,1.5519994824787882,phase1_mixed_easy,36
37,-2.1513127776413663,0.004384344517761333,22,6507,9,0.691345,5496,82.54275836972343,463.1777656477438,3.957241630276565,259.3182320441989,60.0,70,70,6370.5,79,,16,3,3,44.21052631578947,29.86842105263158,25.921052631578945,1.546185385828833,phase1_mixed_easy,37
38,-2.0169140991700587,0.0033058206991929758,19,6678,9,0.6832225000000001,5548,82.23071377072819,460.3633741888969,3.396359048305696,257.7475138121547,60.0,70,70,5587.0,80,,8,6,5,44.230769230769226,29.871794871794872,25.8974358974359,1.5460223374099717,phase1_mixed_easy,38
39,-2.0641655781525268,0.004139206660467954,21,6867,9,0.674245,5647,83.63892332211793,464.87391535328493,3.7430494067646536,266.2583333333333,60.0,70,70,4960.75,81,,15,1,5,45.01246882793018,29.177057356608476,25.81047381546135,1.5411980657427686,phase1_mixed_easy,39
40,-2.8601277964424257,0.004102570969345314,21,7056,9,0.6652675,6107,94.76158506631734,481.5837563451777,4.3152120517439005,370.6973544973545,120.0,130,130,21000.75,82,,13,2,6,45.38834951456311,28.640776699029125,25.970873786407765,1.5390293830846553,phase1_mixed_easy,40
41,-2.1674695323625612,0.0036616571624541565,21,7245,9,0.65629,6007,79.04095222240718,456.5718328616614,3.5769935075744965,238.103125,120.0,130,130,11517.25,83,,13,1,7,45.744680851063826,28.01418439716312,26.24113475177305,1.536904032852222,phase1_mixed_easy,41
42,-2.425096239226008,0.006764588679652661,20,7425,9,0.64774,5898,92.46761614106477,477.9184469311631,4.219565954560868,313.8735135135135,60.0,70,70,7290.0,84,,11,3,6,46.02076124567474,27.68166089965398,26.297577854671278,1.5349626979527213,phase1_mixed_easy,42
43,-7.3195449175202585,0.006352067505940795,20,7605,9,0.6391899999999999,7293,189.03674756615933,657.6817496229261,9.912518853695325,1490.2989361702128,90.0,100,100,73589.5,85,,10,4,6,46.05855855855856,27.59009009009009,26.351351351351347,1.534722098431951,phase1_mixed_easy,43
