Episode,Step,Action,Queue_NS,Queue_EW,Wait_NS,Wait_EW,Reward
1,90,0.651854469230819,11,4,194.0,81.0,-275.0
1,180,0.14207044333199575,21,12,1104.0,745.0,-1849.0
1,270,0.5121134656670249,27,18,2323.0,2105.0,-4428.0
1,360,0.38873841193817893,36,26,4400.0,4174.0,-8574.0
1,450,0.5530728109000996,40,34,7020.0,6923.0,-13943.0
1,540,0.19702974894610864,54,42,10700.0,10360.0,-21060.0
1,630,0.4455819434701078,58,50,14596.0,14488.0,-29084.0
1,720,0.8489299400369149,62,58,19276.0,19303.0,-38579.0
1,810,0.46071558161277915,71,66,24862.0,24800.0,-49662.0
1,900,0.7955672399878739,75,72,30917.0,31012.0,-61929.0
1,990,0.578670303537563,86,80,37940.0,37894.0,-75834.0
1,1080,0.7193119247267256,92,88,45411.0,45486.0,-90897.0
1,1170,0.8646495243766875,100,96,53654.0,53750.0,-107404.0
1,1260,0.45734218219363065,111,104,62859.0,62715.0,-125574.0
1,1350,0.44332533535257557,119,112,72497.0,72365.0,-144862.0
1,1440,0.8025753904775357,120,119,82641.0,82715.0,-165356.0
1,1530,0.7467683356375312,131,126,93718.0,93748.0,-187466.0
1,1620,0.34044034034230936,144,134,105677.0,105468.0,-211145.0
1,1710,0.16691871597981925,155,142,118356.0,117898.0,-236254.0
1,1800,0.3090786572853884,162,150,131238.0,131009.0,-262247.0
1,1890,0.11321787573428033,175,158,145455.0,144807.0,-290262.0
1,1980,0.2889417205145258,176,164,159497.0,159305.0,-318802.0
1,2070,0.7535974756132652,177,172,174464.0,174499.0,-348963.0
1,2160,0.8269549244836698,182,180,190280.0,190381.0,-380661.0
1,2250,0.15666582898684978,196,188,207128.0,206946.0,-414074.0
1,2340,0.38139043644042137,205,196,224343.0,224206.0,-448549.0
1,2430,0.1933265862521858,212,200,242479.0,242096.0,-484575.0
1,2520,0.3527001298017858,210,201,260264.0,260098.0,-520362.0
1,2610,0.6353054988856124,207,200,278074.0,278096.0,-556170.0
1,2700,0.13766910214692907,213,200,296443.0,296096.0,-592539.0
1,2790,0.6220157678643472,204,200,314059.0,314096.0,-628155.0
1,2880,0.885070418048674,203,200,332015.0,332096.0,-664111.0
1,2970,0.5351319688518412,208,200,350118.0,350096.0,-700214.0
1,3060,0.789742296198702,207,200,368043.0,368096.0,-736139.0
1,3150,0.5263444487820405,207,200,386183.0,386096.0,-772279.0
1,3240,0.38076839128912565,208,200,404184.0,404096.0,-808280.0
1,3330,0.8272815029419006,205,200,422029.0,422096.0,-844125.0
1,3420,0.48830067734343385,209,200,440186.0,440096.0,-880282.0
1,3510,0.1729164201351221,211,200,458430.0,458096.0,-916526.0
1,3600,0.26557423236505806,212,200,476404.0,476096.0,-952500.0
